iter	Passed	Remaining
261	9156	25791
262	9191	25756
263	9226	25723
264	9263	25692
265	9302	25669
266	9342	25649
267	9380	25622
268	9415	25587
269	9455	25564
270	9495	25542
271	9536	25524
272	9584	25522
273	9624	25500
274	9666	25483
275	9705	25458
276	9744	25433
277	9785	25413
278	9825	25391
279	9866	25372
280	9907	25350
281	9949	25331
282	9992	25315
283	10034	25298
284	10075	25277
285	10117	25257
286	10156	25230
287	10196	25207
288	10234	25179
289	10272	25149
290	10312	25125
291	10349	25093
292	10387	25064
293	10426	25038
294	10465	25009
295	10501	24976
296	10537	24942
297	10574	24909
298	10613	24882
299	10658	24869
300	10695	24838
301	10735	24811
302	10787	24815
303	10840	24819
304	10919	24881
305	11024	25002
306	11114	25088
307	11172	25102
308	11215	25081
309	11254	25051
310	11297	25029
311	11343	25014
312	11384	24987
313	11427	24965
314	11465	24933
315	11504	24902
316	11543	24871
317	11580	24835
318	11615	24796
319	11650	24756
320	11687	24722
321	11723	24684
322	11759	24646
323	11791	24602
324	11827	24564
325	11862	24524
326	11895	24483
327	11930	24443
328	11965	24402
329	11997	24359
330	12032	24319
331	12067	24281
332	12102	24240
333	12142	24212
334	12180	24179
335	12225	24159
336	12280	24160
337	12337	24164
338	12388	24155
339	12422	24115
340	12457	24074
341	12490	24032
342	12525	23991
343	12560	23952
344	12593	23909
345	12627	23868
346	12661	23827
347	12695	23785
348	12732	23750
349	12769	23714
350	12805	23676
351	12840	23637
352	12882	23612
353	12917	23572
354	12951	23531
355	12989	23497
356	13029	23467
357	13064	23428
358	13097	23386
359	13133	23348
360	13168	23309
361	13203	23271
362	13240	23234
363	13279	23201
364	13316	23166
365	13353	23131
366	13390	23095
367	13428	23062
368	13466	23028
369	13508	23001
370	13550	22972
371	13590	22942
372	13629	22910
373	13668	22877
374	13706	22843
375	13744	22810
376	13783	22777
377	13824	22747
378	13866	22720
379	13906	22689
380	13945	22657
381	13984	22624
382	14020	22586
383	14057	22550
384	14095	22516
385	14134	22483
386	14172	22448
387	14210	22415
388	14251	22384
389	14290	22351
390	14325	22312
391	14361	22274
392	14394	22232
393	14430	22194
394	14467	22158
395	14502	22120
396	14538	22082
397	14574	22045
398	14611	22008
399	14652	21979
400	14693	21948
401	14737	21922
402	14780	21896
403	14822	21866
404	14865	21839
405	14906	21808
406	14945	21774
407	14981	21737
408	15024	21709
409	15083	21706
410	15138	21694
411	15186	21673
412	15229	21645
413	15272	21617
414	15323	21599
415	15365	21570
416	15403	21534
417	15437	21494
418	15480	21465
419	15518	21429
420	15552	21389
421	15585	21347
422	15621	21308
423	15656	21269
424	15691	21229
425	15730	21195
426	15770	21162
427	15814	21135
428	15856	21104
429	15900	21077
430	15939	21043
431	16063	21121
432	16107	21092
433	16144	21055
434	16184	21020
435	16221	20984
436	16261	20950
437	16301	20916
438	16340	20881
439	16378	20845
440	16415	20807
441	16452	20770
442	16492	20736
443	16531	20701
444	16570	20666
445	16607	20629
446	16646	20594
447	16684	20557
448	16722	20521
449	16759	20484
450	16795	20444
451	16831	20406
452	16867	20367
453	16905	20330
454	16941	20292
455	16976	20252
456	17012	20213
457	17048	20175
458	17083	20135
459	17118	20096
460	17153	20056
461	17188	20016
462	17224	19977
463	17260	19938
464	17296	19900
465	17331	19861
466	17366	19820
467	17401	19780
468	17437	19742
469	17472	19703
470	17507	19663
471	17544	19626
472	17580	19588
473	17620	19554
474	17658	19517
475	17711	19497
476	17757	19470
477	17808	19448
478	17859	19424
479	17911	19404
480	17959	19378
481	18009	19355
482	18074	19346
483	18123	19321
484	18166	19290
485	18220	19270
486	18277	19253
487	18320	19221
488	18372	19199
489	18411	19163
490	18451	19127
491	18489	19091
492	18528	19054
493	18572	19023
494	18612	18988
495	18650	18951
496	18693	18919
497	18732	18883
498	18768	18844
499	18809	18809
500	18847	18772
501	18887	18736
502	18927	18701
503	18966	18665
504	19004	18627
505	19041	18589
506	19079	18552
507	19117	18515
508	19154	18476
509	19191	18438
510	19228	18400
511	19265	18362
512	19301	18323
513	19342	18289
514	19414	18283
515	19451	18245
516	19487	18206
517	19526	18169
518	19561	18129
519	19596	18089
520	19632	18049
521	19666	18009
522	19702	17969
523	19738	17930
524	19771	17888
525	19806	17848
526	19840	17807
527	19875	17767
528	19912	17728
529	19947	17689
530	19982	17649
531	20017	17608
532	20051	17568
533	20086	17528
534	20120	17487
535	20156	17448
536	20190	17408
537	20223	17367
538	20258	17326
539	20292	17286
540	20327	17246
541	20360	17204
542	20395	17165
543	20430	17125
544	20465	17085
545	20500	17045
546	20536	17007
547	20570	16966
548	20604	16926
549	20641	16888
550	20676	16849
551	20710	16808
552	20745	16768
553	20780	16729
554	20812	16687
555	20847	16647
556	20882	16608
557	20924	16574
558	20961	16536
559	20998	16499
560	21035	16461
561	21069	16420
562	21105	16382
563	21141	16343
564	21177	16304
565	21212	16265
566	21247	16226
567	21281	16185
568	21314	16144
569	21349	16105
570	21384	16066
571	21418	16026
572	21453	15986
573	21488	15947
574	21521	15907
575	21557	15868
576	21592	15829
577	21627	15790
578	21664	15752
579	21699	15713
580	21734	15674
581	21768	15634
582	21801	15593
583	21835	15554
584	21870	15514
585	21907	15477
586	21946	15440
587	21980	15401
588	22019	15364
589	22053	15325
590	22090	15287
591	22124	15248
592	22157	15207
593	22195	15170
594	22230	15131
595	22263	15091
596	22297	15051
597	22332	15012
598	22365	14972
599	22399	14933
600	22436	14895
601	22472	14857
602	22509	14819
603	22545	14781
604	22579	14741
605	22614	14703
606	22647	14662
607	22693	14631
608	22728	14592
609	22765	14554
610	22797	14514
611	22831	14474
612	22866	14435
613	22899	14395
614	22932	14356
615	22972	14320
616	23005	14280
617	23039	14241
618	23088	14211
619	23141	14183
620	23186	14150
621	23225	14114
622	23260	14075
623	23295	14037
624	23329	13997
625	23356	13954
626	23391	13915
627	23426	13876
628	23457	13835
629	23496	13799
630	23530	13760
631	23565	13721
632	23597	13681
633	23630	13641
634	23666	13603
635	23699	13564
636	23734	13525
637	23768	13485
638	23799	13445
639	23833	13406
640	23869	13368
641	23901	13328
642	23935	13289
643	23969	13250
644	24003	13211
645	24037	13172
646	24072	13133
647	24105	13094
648	24138	13054
649	24171	13015
650	24206	12977
651	24244	12940
652	24277	12900
653	24310	12861
654	24342	12821
655	24379	12784
656	24413	12745
657	24445	12705
658	24479	12667
659	24515	12629
660	24548	12590
661	24582	12550
662	24616	12512
663	24652	12474
664	24686	12435
665	24724	12399
666	24758	12360
667	24790	12321
668	24824	12282
669	24859	12244
670	24892	12205
671	24926	12166
672	24960	12127
673	24994	12089
674	25033	12053
675	25072	12017
676	25109	11979
677	25143	11941
678	25181	11904
679	25218	11867
680	25259	11832
681	25297	11795
682	25334	11758
683	25367	11719
684	25400	11680
685	25435	11642
686	25468	11603
687	25501	11564
688	25536	11526
689	25570	11488
690	25608	11451
691	25640	11412
692	25674	11373
693	25707	11335
694	25741	11296
695	25776	11258
696	25810	11220
697	25843	11181
698	25877	11143
699	25912	11105
700	25945	11066
701	25987	11031
702	26023	10994
703	26060	10957
704	26096	10919
705	26129	10881
706	26163	10843
707	26195	10803
708	26231	10766
709	26265	10728
710	26300	10690
711	26334	10652
712	26368	10613
713	26401	10575
714	26434	10536
715	26469	10498
716	26508	10462
717	26541	10424
718	26579	10387
719	26617	10351
720	26652	10313
721	26684	10274
722	26718	10236
723	26753	10198
724	26787	10160
725	26831	10126
726	26875	10092
727	26919	10057
728	26959	10021
729	26991	9983
730	27023	9944
731	27057	9906
732	27092	9868
733	27126	9830
734	27162	9793
735	27193	9754
736	27228	9716
737	27264	9679
738	27299	9641
739	27335	9604
740	27383	9571
741	27424	9535
742	27464	9499
743	27498	9461
744	27530	9423
745	27574	9388
746	27611	9351
747	27644	9313
748	27678	9275
749	27712	9237
750	27750	9200
751	27783	9162
752	27817	9124
753	27853	9087
754	27889	9050
755	27924	9012
756	27961	8975
757	27998	8938
758	28031	8900
759	28065	8862
760	28100	8825
761	28132	8786
762	28166	8748
763	28201	8711
764	28235	8673
765	28273	8637
766	28307	8599
767	28341	8561
768	28377	8524
769	28421	8489
770	28457	8452
771	28491	8414
772	28525	8376
773	28566	8341
774	28603	8304
775	28644	8268
776	28679	8231
777	28713	8193
778	28749	8156
779	28781	8117
780	28814	8079
781	28850	8042
782	28885	8005
783	28919	7967
784	28956	7930
785	28989	7892
786	29022	7854
787	29055	7817
788	29088	7779
789	29122	7741
790	29157	7704
791	29194	7667
792	29229	7629
793	29264	7592
794	29299	7555
795	29332	7517
796	29366	7479
797	29403	7442
798	29435	7404
799	29471	7367
800	29505	7330
801	29538	7292
802	29577	7256
803	29611	7218
804	29646	7181
805	29683	7144
806	29717	7107
807	29752	7069
808	29785	7032
809	29818	6994
810	29856	6957
811	29898	6922
812	29941	6886
813	29974	6849
814	30008	6811
815	30045	6774
816	30079	6737
817	30113	6700
818	30147	6662
819	30180	6624
820	30213	6587
821	30247	6550
822	30280	6512
823	30313	6474
824	30350	6437
825	30382	6400
826	30417	6362
827	30451	6325
828	30486	6288
829	30521	6251
830	30558	6214
831	30593	6177
832	30628	6140
833	30663	6103
834	30699	6066
835	30737	6029
836	30769	5992
837	30803	5954
838	30837	5917
839	30869	5879
840	30905	5842
841	30942	5806
842	30975	5768
843	31009	5731
844	31045	5694
845	31077	5657
846	31112	5619
847	31147	5583
848	31179	5545
849	31216	5508
850	31250	5471
851	31283	5434
852	31317	5397
853	31353	5360
854	31391	5323
855	31431	5287
856	31468	5250
857	31504	5214
858	31543	5177
859	31601	5144
860	31651	5109
861	31683	5072
862	31716	5034
863	31749	4997
864	31783	4960
865	31817	4923
866	31867	4888
867	31914	4853
868	31957	4817
869	31994	4780
870	32033	4744
871	32066	4707
872	32100	4669
873	32134	4632
874	32167	4595
875	32200	4558
876	32235	4521
877	32267	4483
878	32301	4446
879	32334	4409
880	32367	4371
881	32400	4334
882	32436	4297
883	32470	4260
884	32498	4222
885	32531	4185
886	32563	4148
887	32599	4111
888	32633	4074
889	32665	4037
890	32699	4000
891	32732	3963
892	32765	3926
893	32800	3889
894	32840	3852
895	32889	3817
896	32936	3781
897	32972	3745
898	33009	3708
899	33044	3671
900	33080	3634
901	33119	3598
902	33159	3561
903	33195	3525
904	33231	3488
905	33271	3451
906	33310	3415
907	33347	3378
908	33387	3342
909	33423	3305
910	33464	3269
911	33501	3232
912	33536	3195
913	33570	3158
914	33605	3121
915	33644	3085
916	33686	3049
917	33717	3011
918	33750	2974
919	33785	2937
920	33818	2900
921	33851	2863
922	33884	2826
923	33917	2789
924	33951	2752
925	33985	2715
926	34018	2678
927	34052	2642
928	34086	2605
929	34119	2568
930	34157	2531
931	34191	2494
932	34228	2457
933	34260	2420
934	34295	2384
935	34329	2347
936	34362	2310
937	34396	2273
938	34430	2236
939	34462	2199
940	34497	2162
941	34532	2126
942	34565	2089
943	34601	2052
944	34636	2015
945	34668	1978
946	34702	1942
947	34736	1905
948	34771	1868
949	34806	1831
950	34842	1795
951	34877	1758
952	34909	1721
953	34943	1684
954	34977	1648
955	35018	1611
956	35054	1575
957	35088	1538
958	35120	1501
959	35154	1464
960	35198	1428
961	35232	1391
962	35265	1354
963	35301	1318
964	35349	1282
965	35389	1245
966	35432	1209
967	35469	1172
968	35503	1135
969	35542	1099
970	35579	1062
971	35619	1026
972	35658	989
973	35695	952
974	35732	916
975	35764	879
976	35798	842
977	35839	806
978	35874	769
979	35906	732
980	35941	696
981	35976	659
982	36007	622
983	36041	586
984	36077	549
985	36110	512
986	36143	476
987	36176	439
988	36210	402
989	36245	366
990	36279	329
991	36313	292
992	36351	256
993	36385	219
994	36420	183
995	36453	146
996	36487	109
997	36521	73
998	36554	36
999	36591	0
