iter	MAE
0	531.3313378
1	511.1021762
2	497.0821275
3	483.8562916
4	468.5385802
5	454.09366
6	441.2606318
7	428.9526471
8	419.230139
9	408.1679079
10	394.6791929
11	382.5321968
12	373.2665712
13	364.3343034
14	357.3792403
15	350.361923
16	343.2825951
17	329.5212149
18	322.9849306
19	316.0748012
20	307.2525561
21	300.9082205
22	294.38359
23	289.5631631
24	280.7856016
25	273.574829
26	267.6217082
27	259.5202898
28	255.833432
29	252.2159674
30	241.1640172
31	237.7815007
32	230.0705376
33	222.1366897
34	214.9343222
35	208.9025776
36	202.6179666
37	196.4411278
38	190.6799425
39	186.6143123
40	184.465572
41	180.5458452
42	179.9542305
43	178.5772535
44	173.8266906
45	173.1188849
46	169.359302
47	168.1901232
48	162.5215074
49	157.8016581
50	154.9179014
51	154.4213822
52	149.8945467
53	145.8567449
54	145.1191893
55	143.4898212
56	138.776919
57	135.6576369
58	131.97133
59	129.4923037
60	129.2365516
61	126.6746163
62	123.7388904
63	121.5953311
64	119.2552237
65	116.7021964
66	114.2516818
67	114.0517606
68	111.4204223
69	109.0027884
70	107.0750472
71	104.5242591
72	102.7320458
73	100.3212753
74	99.7181594
75	97.38118708
76	95.49314785
77	93.89472811
78	93.79215038
79	92.12203096
80	88.85060434
81	87.58100149
82	86.25980944
83	84.55274606
84	83.56979467
85	81.32121996
86	80.28647786
87	80.18187023
88	79.32572813
89	78.56118777
90	78.08062728
91	77.35622829
92	76.44193174
93	76.29415495
94	75.31930727
95	74.3587205
96	73.60576222
97	73.03597937
98	71.70630275
99	71.4198674
100	70.66424802
101	69.68742793
102	69.3015267
103	67.16354301
104	66.47097288
105	66.16561109
106	65.58970762
107	65.18616002
108	64.72558108
109	63.51841352
110	63.12872018
111	62.31561782
112	61.95415045
113	61.56723294
114	61.48957101
115	61.06440331
116	60.66750688
117	60.2098415
118	59.78257635
119	59.28882852
120	58.33172442
121	57.91032687
122	56.69986791
123	56.16681097
124	54.57373959
125	54.22703117
126	53.88028019
127	53.4653521
128	53.1454677
129	52.28611447
130	52.05149086
131	51.59133617
132	51.46270744
133	51.41980776
134	50.5523877
135	50.44853426
136	50.39639869
137	50.28901387
138	49.40673015
139	49.33499964
140	49.18188872
141	49.03358233
142	48.95183327
143	48.65642528
144	48.5059683
145	47.95373993
146	47.53736382
147	47.07077778
148	46.67670525
149	46.34703991
150	45.78590973
151	45.58595105
152	45.30277494
153	45.10875796
154	44.97347522
155	44.83007323
156	44.6701227
157	44.4050709
158	44.38654118
159	43.96862487
160	43.85734588
161	43.55032688
162	43.50842843
163	43.43719617
164	43.17436259
165	42.93649505
166	42.79756487
167	42.55637383
168	42.45226574
169	42.1675331
170	42.08522396
171	41.96904877
172	41.88064045
173	41.76693729
174	41.68079474
175	41.60530152
176	40.2549212
177	40.103287
178	40.0737651
179	39.99108048
180	39.98282695
181	39.87864886
182	39.75570736
183	39.60872905
184	39.4961644
185	39.34136508
186	39.21794084
187	39.07551311
188	38.88706166
189	38.7516925
190	38.71149759
191	38.69975231
192	38.57549545
193	38.47016592
194	38.38165419
195	38.31717032
196	38.00337254
197	37.8834028
198	37.82553535
199	37.53784163
200	37.41765618
201	37.16016152
202	37.08486811
203	37.03324856
204	36.98464739
205	36.87261041
206	36.85974776
207	36.77261211
208	36.58703072
209	36.56889385
210	36.55526655
211	36.43364056
212	36.24810086
213	36.19604055
214	36.03319877
215	36.00510013
216	35.9923258
217	35.91578999
218	35.80599289
219	35.77430709
220	35.76250805
221	35.74114425
222	35.70900853
223	35.668748
224	35.64328536
225	35.63212359
226	35.58734938
227	35.57705049
228	35.55625328
229	35.5242563
230	35.51517773
231	35.48528753
232	35.43044985
233	35.37153479
234	35.28935787
235	35.10163808
236	34.98553765
237	34.97792612
238	34.92983213
239	34.87727515
240	34.85131319
241	34.84393747
242	34.54678867
243	34.53377548
244	34.51720969
245	34.51026737
246	34.50367216
247	34.46708239
248	34.45740159
249	34.44081034
250	34.36496862
251	34.24157115
252	34.12764241
253	34.0194101
254	34.00997389
255	34.00100949
256	33.98372737
257	32.72439635
258	32.72036448
259	32.7165342
260	32.60531899
261	32.60132805
262	31.45858892
263	31.43923961
264	31.32470055
265	31.3020595
266	31.19382478
267	31.15921874
268	31.11807764
269	30.9697738
270	30.86638925
271	30.83967093
272	30.82003944
273	30.7568524
274	30.62533847
275	30.49926179
276	30.43844543
277	30.24095504
278	30.19243698
279	30.08391124
280	29.8736075
281	29.82511669
282	29.63285403
283	29.50594072
284	29.469331
285	29.42441032
286	29.36927434
287	29.2857897
288	29.24818483
289	29.1664678
290	29.14012306
291	29.0400635
292	28.95086886
293	28.82677285
294	28.78802036
295	28.74746336
296	28.70375865
297	28.6653158
298	28.63871799
299	28.51327488
300	28.50269017
301	28.49329284
302	28.39177741
303	28.37416902
304	28.36361895
305	27.37855417
306	27.30735529
307	27.27723683
308	27.26549651
309	27.25508497
310	27.23611827
311	27.20523991
312	27.19666909
313	27.17904906
314	27.17139457
315	27.16172841
316	27.06340494
317	27.017329
318	26.99891277
319	26.88206459
320	26.86721459
321	25.93102737
322	25.88350304
323	25.83628586
324	25.80666041
325	25.74626212
326	25.66965004
327	24.76759835
328	23.91064926
329	23.8960959
330	23.84010083
331	23.83065643
332	23.77982112
333	23.69575239
334	23.6698297
335	23.65565152
336	23.64404019
337	23.60898373
338	23.49442988
339	23.42463031
340	23.39538218
341	23.31606909
342	23.26150982
343	23.19540023
344	23.16778158
345	23.13253138
346	23.0963399
347	23.06811934
348	23.042083
349	23.01673028
350	23.00407142
351	22.96984721
352	22.16468812
353	22.1245328
354	22.09032735
355	21.3339451
356	21.31430322
357	21.28201801
358	21.22436179
359	21.1867441
360	21.16076354
361	21.13367724
362	21.1242942
363	21.11680498
364	21.09226202
365	21.07524071
366	21.03873895
367	21.00670991
368	20.97903798
369	20.96927218
370	20.25212408
371	19.5691006
372	19.48921278
373	19.47345428
374	19.39999715
375	19.36836629
376	19.33452717
377	18.6766585
378	18.66837107
379	18.62996177
380	18.61771013
381	18.60020313
382	18.58649085
383	17.97950143
384	17.97021243
385	17.95826506
386	17.94217743
387	17.93225875
388	17.91993715
389	17.90800353
390	17.89793413
391	17.88566502
392	17.859418
393	17.82970082
394	17.76003061
395	17.74217282
396	17.72625633
397	17.71829863
398	17.63096145
399	17.62495428
400	17.60831828
401	17.59083135
402	17.56558199
403	17.55942609
404	17.53925672
405	17.49951792
406	17.48010577
407	17.47217115
408	16.86651727
409	16.84206105
410	16.81501929
411	16.80377171
412	16.79585397
413	16.77371988
414	16.75936562
415	16.73574707
416	16.72905131
417	16.71370912
418	16.70975841
419	16.63958292
420	16.6355469
421	16.59031674
422	16.52212994
423	16.49998121
424	16.48615157
425	16.43186393
426	16.41532005
427	16.4045211
428	16.37670342
429	15.77910666
430	15.76801568
431	15.74295385
432	15.71914511
433	15.69917581
434	15.69034968
435	15.16782501
436	15.14769488
437	14.63201463
438	14.62652365
439	14.61265378
440	14.54339155
441	14.51659245
442	14.50253493
443	14.48712566
444	14.47361705
445	14.46559428
446	14.45850841
447	14.4548284
448	14.44803949
449	14.43900666
450	14.43088061
451	14.41632767
452	14.39719914
453	14.3695927
454	14.34976372
455	13.84488646
456	13.83628466
457	13.82549742
458	13.79592368
459	13.76804798
460	13.2838903
461	12.83255421
462	12.79665984
463	12.78270723
464	12.75816396
465	12.74674464
466	12.71972562
467	12.69478054
468	12.68216248
469	12.67759342
470	12.67265071
471	12.66301253
472	12.65027478
473	12.64085817
474	12.62427395
475	12.59799883
476	12.59216151
477	12.5823807
478	12.17380544
479	12.1643471
480	12.1539513
481	12.1222904
482	12.10951973
483	12.09680707
484	12.08673119
485	12.07696613
486	11.70551025
487	11.69224831
488	11.68510536
489	11.67843309
490	11.30896433
491	10.97295612
492	10.96658912
493	10.95849919
494	10.94696316
495	10.9384817
496	10.92515321
497	10.90641332
498	10.89818413
499	10.88741088
500	10.86862814
501	10.85452319
502	10.82074807
503	10.80725065
504	10.80336236
505	10.79791601
506	10.79519844
507	10.78249117
508	10.75106332
509	10.74340337
510	10.71154259
511	10.68143628
512	10.66706526
513	10.65740197
514	10.6516674
515	10.64760622
516	10.64479712
517	10.64243955
518	10.63136375
519	10.61711779
520	10.6116148
521	10.59287604
522	10.58614081
523	10.57900262
524	10.56565814
525	10.54866494
526	10.52481893
527	10.50794698
528	10.50526977
529	10.49343195
530	10.47503601
531	10.13969776
532	10.12236199
533	9.803593142
534	9.500762743
535	9.213614306
536	8.940823289
537	8.689125532
538	8.672955737
539	8.659556965
540	8.654256094
541	8.644625341
542	8.625955004
543	8.620433337
544	8.610365286
545	8.607118718
546	8.604854833
547	8.598394416
548	8.59569823
549	8.592728133
550	8.341584901
